Randint,Question,Answer,Type,Section,Sub Section
177,Income tax exemption limit will be raised to _______ under the new tax regime,â‚¹12 lakh,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Budget,
178,"For salaried taxpayers, the exemption will be _______ due to the standard deduction of Rs. 75,000.",â‚¹12.75 lacs,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Budget,
179,New tax structure for income up to â‚¹24 lakh is as follows:,"â‚¹0 - 4 lac : Nil
â‚¹4 - 8 lac : 5%
â‚¹8 - 12 lac : 10%
â‚¹12 - 16 lac : 15%
â‚¹16 - 20 lac : 20%
â‚¹20 - 24 lac : 25%
>â‚¹24 lac : 30%",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Budget,
180,What's BharatTradeNet?,unified platform for trade documentation and financing solutions,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Intl Trade,
181,"How many tariff rates will be removed, adding to the seven removed in the 2023-24 Budget. After this, only eight tariff rates will remain, including a zero rate.",Seven,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Intl Trade,
182,_______ will be fully exempt from Basic Customs Duty (BCD).,36 lifesaving drugs,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Intl Trade,
183,"Cobalt powder, lithium-ion battery scrap, Lead, Zinc, and 12 other minerals, 35 additional capital goods for EV battery manufacturing and 28 additional capital goods for mobile phone battery manufacturing will be exempt from _______ to promote domestic manufacturing",BCD (Basic Custom Duty),BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Intl Trade,
184,"BCD on Interactive Flat Panel Display (IFPD) will increase from 10% to _____,",20%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Intl Trade,
185,BCD on Frozen Fish Paste (Surimi) will be reduced from 30% to ____% t,5%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Intl Trade,
186,What's the objective of Prime Minister Dhan-Dhaanya Krishi Yojana?,to enhance agricultural productivity and sustainability in 100 districts with low crop intensity.,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
187,In which state is Makhana Board set to set up?,Bihar,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
188,On which states does budget laid stress on with regards to Fisheries sector?,Andaman Nicobar Islands and Lakshadweep,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
189,Kisan Credit Card limit will be increased to,â‚¹ 5 lakh,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
190,In which state will a new urea plant be set up?,Assam,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
191,"_______ will play a key role in supporting rural entrepreneurs, MSMEs, and the broader rural economy.",India Post,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
192,Investment criteria for Micro Enterprises has been revised from â‚¹1 crore to,â‚¹2.5 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
193,Turnover criteria for Micro Enterprises has been revised from â‚¹1 crore to,â‚¹10 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
194,Investment criteria for Small Enterprises has been revised from â‚¹10 crore to,â‚¹25 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
195,Turnover criteria for Small Enterprises has been revised from â‚¹50 crore to,â‚¹100 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
196,Investment criteria for Medium Enterprises has been revised from â‚¹50 crore to,â‚¹125 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
197,Turnover criteria for Medium Enterprises has been revised from â‚¹250 crore to,â‚¹500 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
198,"Customized credit cards with a ________ limit will be introduced for micro enterprises registered on the Udyam portal,",Rs. 5 lakh,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
199,Credit Availability with Guarantee Cover for MSEs enhanced from 5 crore to,10 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
200,Credit Availability with Guarantee Cover for Startups enhanced from 10 crore to,20 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
201,"A new scheme will provide term loans up to ______ to 5 lakh women, SC, and ST first-time entrepreneurs.",â‚¹2 crore,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
202,Which index shall be prepared to promote competitive cooperative federalism and encourage states to improve their investment climate?,Investment Friendliness Index of States,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Sectors,
203,"Under which mission, a target of 100 GW of nuclear energy by 2047 will be pursued? ",Nuclear Energy Mission,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Infra,
204,Greenfield Airports shall be setup in,Bihar,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Infra,
205,Which mission aims to modernize land records and infrastructure planning using geospatial data from the PM Gati Shakti portal?,National Geospatial Mission,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Infra,
206,"Indian Railways is set to become the ____-highest freight-carrying railway globally,",second,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Infra,
207,"200 Vande Bharat trains, 100 Amrit Bharat trains, 50 Namo Bharat rapid rail, and 17,500 non-AC general coacheswill be introduced in the next _____ years",2 to 3 years,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Infra,
208,"In the next year, _______ additional medical seats will be added to meet the goal of adding 75,000 seats over the next 5 years.","10,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > HRD,
209,________ Day Care Cancer Centres will be set up in district hospitals by 2025-26 to improve cancer treatment access.,200,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > HRD,
210,"PM SVANidhi scheme shall be revamped to offer enhanced loans from banks, UPI-linked credit cards with a â‚¹______  limit, ","â‚¹30,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > HRD,
211,"Under which scheme, Gig workers are to be provided with identity cards, healthcare? ",PM Jan Arogya Yojana,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > HRD,
212,Jal Jeevan Mission will be extended until ______ with an enhanced total outlay to ensure 100% coverage.,2028,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > HRD,
213,"Which centers are to be established to enhance talent availability, improve infrastructure, and introduce byelaw reforms to promote collaboration with industry?",Global Capability Centres (GCC),BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > HRD,
214,(FDI) limit for the insurance sector will be raised from 74% to ____%,100%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > HRD,
215,"India was 10th largest economy in 2014, which now has become _____th largest by 2024",4th,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > General,
216,A survey by IIM Ahmedabad indicates that _____% of white-collar workers believe their jobs will be partially or fully automated by AI within the next five years.,68%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > General,
217,"Credit growth outpaced nominal GDP growth for two successive years, and the credit-GDP gap narrowed to _____% in Q1 FY25 from (-) 10.3% in Q1 FY23, indicating sustainable credit expansion.",0.30%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
218,"Primary market fundraising (equity & debt) stood at â‚¹_____ lakh crore (Apr-Dec 2024), a 5% increase from FY24.",â‚¹11.1 lac crore,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
219,"Gross Non-Performing Assets (GNPA) Ratio: Declined to a 12-year low of ____% (September 2024), down from 9.3% in March 2017.",2.60%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
220,Net NPA Ratio improved to ____% (September 2024),0.60%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
221,"Capital to Risk-Weighted Asset Ratio (CRAR): ______% (September 2024), significantly above Basel III norms (10.5%).",16.70%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
222,"Total bank credit growth: _____% YoY (November 2024), compared to 15.2% a year ago.",11.80%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
223,"Deposit Growth: _____% YoY (November 2024), converging with credit growth.",11.10%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
224,India's Bank Credit to GDP ratio remains lower than Advanced Economies but remains lower than,Emerging Market Economies,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
225,Number of districts covered under RRBs increased from 523 (2006) to ______ (2024).,696,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
226,"CRR reduction from 4.5% to _____% (December 2024), injecting â‚¹1.16 lakh crore liquidity into the banking system.",4%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
227,"RBIâ€™s Financial Inclusion Index rose from 53.9 (March 2021) to ______ (March 2024), indicating improved access to financial services.",64.2,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
228,BSE Market Cap to GDP Ratio rose to ____% in December 2024,"136% (ðŸ‡¨ðŸ‡³65%, ðŸ‡ºðŸ‡¸213%)",BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
229,"The domestic corporate bond market remains underdeveloped, accounting for only _____% of GDP, compared to 80% in Korea and 36% in China",18%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
230,"High-rated bonds (AAA, AA+, AA) accounted for _____% of corporate bond issuances in 2024",97%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
231,"Provident funds cannot invest in corporate bonds for more than _____ years, restricting liquidity.",three,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
232,"Historical data suggests that in 22 instances when S&P 500 fell more than 10%, Nifty 50 declined in ____ cases, averaging a 10.7% drop.",22,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
233,LIC continues to dominate with over ____% market share in first-year premium collection.,59%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
234,"Life insurance penetration (premiums as % of GDP) in India was ____% in FY24, higher than China (2.4%) and Brazil (1.8%) but lower than the UK (8.2%) and South Korea (6.4%).",3.20%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
235,"Health insurance premiums grew by ____% YoY, reflecting increased demand for medical coverage post-COVID-19.",13.20%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
236,"Motor insurance, which accounts for ____% of non-life premiums, grew by 10.5% in FY24.",38%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
237,Demat accounts increased by 33% YoY to ____ crore in December 2024.,18.5 crore,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
238,"Systematic Investment Plan (SIP) accounts crossed 10 crore, with cumulative inflows of _____.",â‚¹10.9 lakh crore,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
239,"The share of mutual funds in the Indian stock market reached a record high of ____% in September 2024, up from 8.7% in FY24.",9.50%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
240,"India became the leading contributor to global IPO listings, accounting for ___% of global IPOs in 2024, up from 17% in 2023.",30%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
241,Share of non institutional credit has been declined from 75% in 1951 to ____% in 2022,25%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > MBFI,
242,Repo rate remained unchanged at _____% throughout April â€“ December 2024.,6.50%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Budget,
243,Government capex increasing at a trend rate of ____% per year (FY20-FY24).,38.80%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Budget,
244,"____% YoY growth in services trade, led by IT and business services.",7%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
245,____% YoY growth in global merchandise exports.,3.50%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
246,Total exports (merchandise + services) grew by ____% YoY (Apr-Dec FY25).,6%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
247,Indiaâ€™s services exports growing ___% YoY.,11.60%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
248,"Indiaâ€™s 2023 textile exports: USD 34 billion (___th largest globally), out of which EU & US (66% of apparel exports)",6th,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
249,GIFT IFSC improved its global ranking by five places to ____nd in the â€˜Global Financial Centres Index',52nd,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
250,Indiaâ€™s global market share in services exports doubled from 1.9% (2005) to ____% (2023).,4.30%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
251,"According to UNCTAD, Computer & IT Services ____% global market share, ranking 2nd globally",10.20%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
252,"India's Foreign Reserve stood at 640 bn in September 2024, sufficient to cover ____% of external debt.",90%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
253,"In September 2024, External debt-to-GDP ratio stood at ____%",19.40%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
254,"Global trade as a share of GDP rose from 39% in 1980 to _____% in 2012, signifying Era of Hyperglobalization",60%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
255,"Chinaâ€™s share of global manufacturing is projected to reach ____% by 2030, up from 6% in 2000.",45%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
256,"China is the leading producer of electric vehicles, critical minerals (Copper, Lithium, Nickel, Cobalt, Graphite), and clean energy equipment. India currently imports ____% of lithium-ion batteries from China. ",75%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
257,"Which industry is emerging as a high-value export sector, classified as a â€œsunrise industryâ€ with 100% export orientation? ",Indiaâ€™s Floriculture Industry,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Intl Trade,
258,GDP is estimated to grow by ____% in FY25,6.40%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
259,"In FY26, GDP growth is expected to range between",6.3% and 6.8%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
260,Private Final Consumption Expenditure (PFCE) expanded by,7.30%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
261,Gross Fixed Capital Formation (GFCF) grew by,6.40%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
262,"After IBC implementation, Average resolution time has been reduced to ____ days (target: 180 days). ",582 days,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
263,"Indiaâ€™s recovery rate for insolvency is ___%, lower than the US (81%), UK (64%), and China (46%).",34%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
264,"According to the IMF, a 1 standard deviation increase in uncertainty reduces global output growth by ____",0.4% to 1.3%.,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
265,Global inflation peaked at 8.7% in 2022 but fell to ____% in 2024 due to policy tightening.,5.70%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
266,Is this true that small number of food items accounted for a large share of inflation?,"Yes (excluding vegetables and pulses, food inflation was 4.3% (4.1 percentage points lower than actual food inflation)",BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
267,"70% of India's onion production occurs in the _____ season, influencing prices the following year.",Rabi season,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
268,"Trends in Production and Inflation of _______ : Strong negative correlation (-0.8) between production and inflation, meaning low production leads to higher inflation the following year. ",Tur Dal (Pulses),BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
269,"According to RBI, Headline inflation projected at _____% in FY25 ",4.80%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
270,India aims to sustain an ____% growth rate at constant prices to achieve its vision of Viksit Bharat by 2047.,8%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
271,Urbanization increased from 39% (1980) to ____% (2022).,57%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
272,Extreme poverty fell from 42% (1981) to ____% (2019).,8.40%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
273,"Indiaâ€™s share in global manufacturing (______%) remains much lower than Chinaâ€™s 28.8%, but presents an opportunity for growth.",2.80%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
274,"India is the 2nd-largest cement producer globally after ______. (87% of cement production is concentrated in key states like Rajasthan, Andhra Pradesh, Telangana, and Tamil Nadu.)",China,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
275,"_____% of smartphones now domestically manufactured, reducing dependence on imports.",99%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
276,Mobile phone imports fell from 78% (FY15) to _____% (FY23).,4%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
277,Electronics production CAGR (FY15-FY24): _____%.,17.50%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
278,What's the contribution of Textile industry to Indian Mfg GVA?,11%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
279,India ranks ____rd globally in pharmaceutical production by volume.,3rd,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
280,"According to WIPO, India ranks ____th in global patent filings",6th,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2425 > Sectors,
